name,cost,short_desc,long_description
Perception Potion +,10,2 constricting,add 2 constricting base damage
Agility Potion +,10,2 slashing,add 2 slashing base damage
Strength Potion +,10,2 blunt,add 2 blunt base damage
Invisibility Potion +,10,2 piercing,add 2 piercing base damage
Arcane Potion +,10,2 magic,add 2 magic base damage
Perception Potion +,10,2 constricting,add 2 constricting base damage
Agility Potion +,10,2 slashing,add 2 slashing base damage
Strength Potion +,10,2 blunt,add 2 blunt base damage
Invisibility Potion +,10,2 piercing,add 2 piercing base damage
Arcane Potion +,10,2 magic,add 2 magic base damage
Perception Potion +,10,2 constricting,add 2 constricting base damage
Agility Potion +,10,2 slashing,add 2 slashing base damage
Strength Potion +,10,2 blunt,add 2 blunt base damage
Invisibility Potion +,10,2 piercing,add 2 piercing base damage
Arcane Potion +,10,2 magic,add 2 magic base damage
Perception Potion +,10,2 constricting,add 2 constricting base damage
Agility Potion +,10,2 slashing,add 2 slashing base damage
Strength Potion +,10,2 blunt,add 2 blunt base damage
Invisibility Potion +,10,2 piercing,add 2 piercing base damage
Arcane Potion +,10,2 magic,add 2 magic base damage
