name,cost,infusion,description
Trap,5cp,slashing,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,blunt,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,constricting,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,piercing,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,slashing,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,blunt,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,constricting,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,piercing,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,slashing,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,blunt,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,constricting,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,piercing,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,slashing,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,blunt,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,constricting,Reduces the damage dealt per card of the listed damage type by 1
Trap,5cp,piercing,Reduces the damage dealt per card of the listed damage type by 1
